Time,Temp,Humidity
12:59:22,34.5,43.9
12:59:27,34.5,43.8
12:59:32,34.5,43.7
12:59:37,34.5,43.6
12:59:42,34.6,43.5
12:59:47,34.6,43.4
12:59:52,34.6,43.5
12:59:57,34.6,43.3
13:00:02,34.6,43.3
13:00:07,34.6,43.3
13:00:12,34.6,43.5
13:00:17,34.6,43.7
13:00:22,34.6,44.0
13:00:27,34.6,44.0
13:00:32,34.6,44.0
13:00:37,34.6,44.0
13:00:42,34.6,43.9
13:00:47,34.6,43.7
13:00:52,34.6,43.6
13:00:57,34.6,43.5
13:01:02,34.6,43.6
13:01:07,34.6,43.7
13:01:12,34.6,43.8
13:01:17,34.6,43.9
13:01:22,34.6,43.9
13:01:27,34.6,43.9
13:01:32,34.6,44.1
13:01:37,34.6,44.3
13:01:42,34.6,44.3
13:01:47,34.6,44.5
13:01:52,34.6,44.5
13:01:57,34.5,44.4
13:02:02,34.6,44.6
13:02:07,34.5,45.1
13:02:12,34.5,45.0
13:02:17,34.5,44.9
13:02:22,34.5,44.9
13:02:27,34.6,44.7
13:02:32,34.5,44.7
13:02:37,34.5,44.6
13:02:42,34.5,44.5
13:02:47,34.5,45.3
13:02:52,34.5,45.4
13:02:57,34.5,45.3
13:03:02,34.5,45.2
13:03:07,34.5,45.0
13:03:12,34.5,44.6
13:03:17,34.5,44.3
13:03:22,34.6,44.2
13:03:27,34.6,44.1
13:03:32,34.6,44.3
13:03:37,34.6,44.4
13:03:42,34.6,44.7
13:03:47,34.6,44.6
13:03:52,34.6,44.6
13:03:57,34.6,44.7
13:04:02,34.6,44.6
13:04:07,34.6,44.8
13:04:12,34.6,44.5
13:04:17,34.6,44.2
13:04:22,34.6,44.1
13:04:27,34.6,44.2
13:04:32,34.6,44.2
13:04:37,34.6,45.6
13:04:42,34.6,45.7
13:04:47,34.7,45.4
13:04:52,34.7,45.4
13:04:57,34.6,45.6
13:05:02,34.6,45.8
13:05:07,34.6,46.5
13:05:12,34.6,46.1
13:05:17,34.6,45.5
13:05:22,34.6,45.3
